时间,压力,冲击力,温度
2019-05-19 08:23:19:070,0,0,0
2019-05-19 08:23:19:071,0,0,0
2019-05-19 08:23:19:072,0,0,0
2019-05-19 08:23:19:073,0,0,0
2019-05-19 08:23:19:074,0,0,0
2019-05-19 08:23:19:075,0,0,0
2019-05-19 08:23:19:076,0,0,0
2019-05-19 08:23:19:077,0,0,0
2019-05-19 08:23:19:078,0,0,0
2019-05-19 08:23:19:079,0,0,0
2019-05-19 08:23:19:080,0,0,0
2019-05-19 08:23:19:081,0,0,0
2019-05-19 08:23:19:082,0,0,0
2019-05-19 08:23:19:083,0,0,0
2019-05-19 08:23:19:084,0,0,0
2019-05-19 08:23:19:085,0,0,0
2019-05-19 08:23:19:086,0,0,0
2019-05-19 08:23:19:087,0,0,0
2019-05-19 08:23:19:088,0,0,0
2019-05-19 08:23:19:089,0,0,0
2019-05-19 08:23:19:090,0,0,0
2019-05-19 08:23:19:091,0,0,0
2019-05-19 08:23:19:092,0,0,0
2019-05-19 08:23:19:093,0,0,0
2019-05-19 08:23:19:094,0,0,0
2019-05-19 08:23:19:095,0,0,0
2019-05-19 08:23:19:096,0,0,0
2019-05-19 08:23:19:097,0,0,0
2019-05-19 08:23:19:098,0,0,0
2019-05-19 08:23:19:099,0,0,0
2019-05-19 08:23:19:100,0,0,0
2019-05-19 08:23:19:101,0,0,0
2019-05-19 08:23:19:102,0,0,0
2019-05-19 08:23:19:103,0,0,0
2019-05-19 08:23:19:104,0,0,0
2019-05-19 08:23:19:105,0,0,0
2019-05-19 08:23:19:106,0,0,0
2019-05-19 08:23:19:107,0,0,0
2019-05-19 08:23:19:108,0,0,0
2019-05-19 08:23:19:109,0,0,0
2019-05-19 08:23:19:110,0,0,0
2019-05-19 08:23:19:111,0,0,0
2019-05-19 08:23:19:112,0,0,0
2019-05-19 08:23:19:113,0,0,0
2019-05-19 08:23:19:114,0,0,0
2019-05-19 08:23:19:115,0,0,0
2019-05-19 08:23:19:116,0,0,0
2019-05-19 08:23:19:117,0,0,0
2019-05-19 08:23:19:118,0,0,0
2019-05-19 08:23:19:119,0,0,0
2019-05-19 08:23:19:120,0,0,0
2019-05-19 08:23:19:121,0,0,0
2019-05-19 08:23:19:122,0,0,0
2019-05-19 08:23:19:123,0,0,0
2019-05-19 08:23:19:124,0,0,0
2019-05-19 08:23:19:125,0,0,0
2019-05-19 08:23:19:126,0,0,0
2019-05-19 08:23:19:127,0,0,0
2019-05-19 08:23:19:128,0,0,0
2019-05-19 08:23:19:129,0,0,0
2019-05-19 08:23:19:130,0,0,0
2019-05-19 08:23:19:131,0,0,0
2019-05-19 08:23:19:132,0,0,0
2019-05-19 08:23:19:133,0,0,0
2019-05-19 08:23:19:134,0,0,0
2019-05-19 08:23:19:135,0,0,0
2019-05-19 08:23:19:136,0,0,0
2019-05-19 08:23:19:137,0,0,0
2019-05-19 08:23:19:138,0,0,0
2019-05-19 08:23:19:139,0,0,0
2019-05-19 08:23:19:140,0,0,0
2019-05-19 08:23:19:141,0,0,0
2019-05-19 08:23:19:142,0,0,0
2019-05-19 08:23:19:143,0,0,0
2019-05-19 08:23:19:144,0,0,0
2019-05-19 08:23:19:145,0,0,0
2019-05-19 08:23:19:146,0,0,0
